property_id,date_found,platform,listing_url,title,area,district,postcode_or_neighborhood,rent,sqm,rooms,furnished,registration,sharing_allowed,available_from,lease_months,agency,opportunity_score,reasons,indefinite,temporary,upholstered,bare,url,student_only,sharing,required_income,eligible,price_per_m2,property_type,budget_limit,household_income,within_budget,validation_issues,validation_status,property_state,status,telegram_message_id
"capelle-aan-den-ijssel_2,390_92_2",2026-08-26 08:23,,,"Flat for rent: 2e Octaviolaan, Capelle aan den IJssel for €2,390",capelle-aan-den-ijssel,,,2390.0,92.0,2.0,True,True,,,,,40.0,Registration available; Furnished; Good commute,,,False,,https://www.pararius.com/apartment-for-rent/capelle-aan-den-ijssel/0a554355/2e-octaviolaan,True,False,8365.0,False,25.97826086956522,studio,1000.0,3724.0,False,[],PASS,new,,
"capelle-aan-den-ijssel_2,250_87_3",2026-08-26 08:23,,,"Flat for rent: Lehárstraat, Capelle aan den IJssel for €2,250",capelle-aan-den-ijssel,,,2250.0,87.0,3.0,False,True,,,,,80.0,Registration available; Good commute; Not student-only,,,False,,https://www.pararius.com/apartment-for-rent/capelle-aan-den-ijssel/35880a98/leharstraat,False,False,7875.0,False,25.86206896551724,three_room,2000.0,7448.0,False,[],PASS,new,,
"capelle-aan-den-ijssel_1,950_94_4",2026-08-26 08:23,,,"Flat for rent: Waterberg, Capelle aan den IJssel for €1,950",capelle-aan-den-ijssel,,,1950.0,94.0,4.0,True,True,,,,,90.0,Registration available; Furnished; Good commute; Good value,,,False,,https://www.pararius.com/apartment-for-rent/capelle-aan-den-ijssel/7a7a643b/waterberg,True,False,6825.0,True,20.74468085106383,four_room,3000.0,11172.0,True,[],PASS,new,,
"capelle-aan-den-ijssel_1,900_70_3",2026-08-26 08:23,,,"Flat for rent: Onacklaan 284, Capelle aan den IJssel for €1,900",capelle-aan-den-ijssel,,,1900.0,70.0,3.0,False,True,,,,,85.0,Registration available; Good commute,,,False,,https://www.pararius.com/apartment-for-rent/capelle-aan-den-ijssel/9d979ca6/onacklaan,True,False,6650.0,True,27.142857142857142,three_room,2000.0,7448.0,True,[],PASS,new,,
"capelle-aan-den-ijssel_1,995_80_3",2026-08-26 08:23,,,"Flat for rent: Lehárstraat, Capelle aan den IJssel for €1,995",capelle-aan-den-ijssel,,,1995.0,80.0,3.0,False,True,,,,,90.0,Registration available; Good commute; Not student-only; Good value,,,False,,https://www.pararius.com/apartment-for-rent/capelle-aan-den-ijssel/c71f1d3a/leharstraat,False,False,6982.5,True,24.9375,three_room,2000.0,7448.0,True,[],PASS,new,,
"capelle-aan-den-ijssel_2,100_85_3",2026-08-26 08:23,,,"Flat for rent: Fluiterlaan 250, Capelle aan den IJssel for €2,100",capelle-aan-den-ijssel,,,2100.0,85.0,3.0,False,True,,,,,80.0,Registration available; Good commute; Sharing allowed; Good value,,,False,,https://www.pararius.com/apartment-for-rent/capelle-aan-den-ijssel/e7a55893/fluiterlaan,True,True,7350.0,False,24.705882352941178,three_room,2000.0,7448.0,False,[],PASS,new,,
"vlaardingen_2,250_80_4",2026-08-26 08:23,,,"Flat for rent: Westhavenkade, Vlaardingen for €2,250",vlaardingen,,,2250.0,80.0,4.0,True,True,,,,,81.0,Registration available; Furnished; Good commute; Not student-only,,,False,,https://www.pararius.com/apartment-for-rent/vlaardingen/46830df4/westhavenkade,False,False,7875.0,True,28.125,four_room,3000.0,11172.0,True,[],PASS,new,,
"vlaardingen_1,250_66_3",2026-08-26 08:23,,,"Flat for rent: Oosterstraat 26 B, Vlaardingen for €1,250",vlaardingen,,,1250.0,66.0,3.0,True,True,,,,,91.0,Registration available; Furnished; Good commute; Good value,,,False,,https://www.pararius.com/apartment-for-rent/vlaardingen/642b6f7d/oosterstraat,True,False,4375.0,True,18.939393939393938,three_room,2000.0,7448.0,True,[],PASS,new,,
"vlaardingen_2,500_93_4",2026-08-26 08:23,,,"Flat for rent: Lorentzstraat 3, Vlaardingen for €2,500",vlaardingen,,,2500.0,93.0,4.0,True,True,,,,,56.0,Registration available; Furnished; Good commute; Not student-only,,,False,,https://www.pararius.com/apartment-for-rent/vlaardingen/7060c597/lorentzstraat,False,False,8750.0,True,26.881720430107528,four_room,3000.0,11172.0,True,[],PASS,new,,
"vlaardingen_2,300_88_4",2026-08-26 08:23,,,"Flat for rent: Westhavenkade, Vlaardingen for €2,300",vlaardingen,,,2300.0,88.0,4.0,True,True,,,,,81.0,Registration available; Furnished; Good commute; Not student-only,,,False,,https://www.pararius.com/apartment-for-rent/vlaardingen/98c8008f/westhavenkade,False,False,8050.0,True,26.13636363636364,four_room,3000.0,11172.0,True,[],PASS,new,,
vlaardingen_20700_100_4,2026-08-26 08:24,,,"Flat for rent: Kethelweg, Vlaardingen for price on request",vlaardingen,,,2070.0,100.0,4.0,True,True,,,,,81.0,Registration available; Furnished; Good commute; Not student-only,,,False,,https://www.pararius.com/apartment-for-rent/vlaardingen/ddb0ef45/kethelweg,False,False,7245.0,True,20.7,four_room,3000.0,11172.0,True,[],PASS,new,,
"vlaardingen_1,500_97_3",2026-08-26 08:24,,,"Flat for rent: Chopinstraat 11 C, Vlaardingen for €1,500",vlaardingen,,,1500.0,97.0,3.0,True,True,,,,,96.0,Registration available; Furnished; Good commute; Not student-only; Good value,,,False,,https://www.pararius.com/apartment-for-rent/vlaardingen/fd08a498/chopinstraat,False,False,5250.0,True,15.463917525773196,three_room,2000.0,7448.0,True,[],PASS,new,,
"barendrecht_1,650_113_4",2026-08-26 08:24,,,"Flat for rent: Van Beuningenhaven 104, Barendrecht for €1,650",barendrecht,,,1650.0,113.0,4.0,False,True,,,,,80.0,Registration available; Not student-only; Good value,,,False,,https://www.pararius.com/apartment-for-rent/barendrecht/09b8ebe8/van-beuningenhaven,False,False,5775.0,True,14.601769911504425,four_room,3000.0,11172.0,True,[],PASS,new,,
"barendrecht_1,995_89_3",2026-08-26 08:24,,,"Flat for rent: Avenue Carnisse 289, Barendrecht for €1,995",barendrecht,,,1995.0,89.0,3.0,True,True,,,,,90.0,Registration available; Furnished; Good value,,,False,,https://www.pararius.com/apartment-for-rent/barendrecht/2826cb42/avenue-carnisse,True,False,6982.5,True,22.415730337078653,three_room,2000.0,7448.0,True,[],PASS,new,,
"dordrecht_1,750_105_4",2026-08-26 08:24,,,"Flat for rent: Plutolaan 2, Dordrecht for €1,750",dordrecht,,,1750.0,105.0,4.0,False,True,,,,,80.0,Registration available; Not student-only; Good value,,,False,,https://www.pararius.com/apartment-for-rent/dordrecht/747b362e/plutolaan,False,False,6125.0,True,16.666666666666668,four_room,3000.0,11172.0,True,[],PASS,new,,
"dordrecht_1,125_80_4",2026-08-26 08:24,,,"Flat for rent: Schipbeekstraat, Dordrecht for €1,125",dordrecht,,,1125.0,80.0,4.0,True,True,,,,,85.0,Registration available; Furnished; Not student-only; Good value,,,False,,https://www.pararius.com/apartment-for-rent/dordrecht/f9621087/schipbeekstraat,False,False,3937.5,True,14.0625,four_room,3000.0,11172.0,True,[],PASS,new,,
